Season,Name,Team,PA,HR,RBI,AVG,SLG,NameASCII,PlayerId,MLBAMID
2021,"Tony Kemp","OAK",397,8,37,0.278787878,0.418181818,"Tony Kemp",14894,643393
2017,"Nick Hundley","SFG",303,9,35,0.243902439,0.418118466,"Nick Hundley",3376,460026
2017,"Brandon Nimmo","NYM",215,5,21,0.259887005,0.418079096,"Brandon Nimmo",12927,607043
2019,"Willy Adames","TBR",584,20,52,0.254237288,0.418079096,"Willy Adames",15986,642715
2015,"Dee Strange-Gordon","MIA",653,4,46,0.333333333,0.417886178,"Dee Strange-Gordon",8203,543829
2023,"Lars Nootbaar","STL",503,14,46,0.26056338,0.417840375,"Lars Nootbaar",21454,663457
2018,"Lucas Duda","- - -",367,14,50,0.240853658,0.417682926,"Lucas Duda",2502,446263
2017,"Addison Russell","CHC",385,12,43,0.238636363,0.417613636,"Addison Russell",14106,608365
2018,"Lorenzo Cain","MIL",620,10,38,0.307977736,0.417439703,"Lorenzo Cain",9077,456715
2018,"Pablo Sandoval","SFG",252,9,40,0.247826086,0.417391304,"Pablo Sandoval",5409,467055
2019,"Welington Castillo","CHW",251,12,41,0.208695652,0.417391304,"Welington Castillo",3256,456078
2018,"Austin Romine","NYY",265,10,42,0.243801652,0.417355371,"Austin Romine",5491,519222
2023,"LaMonte Wade Jr.","SFG",519,17,45,0.256410256,0.417249417,"LaMonte Wade Jr.",18126,664774
2022,"Wander Franco","TBR",344,6,33,0.277070063,0.417197452,"Wander Franco",23667,677551
2016,"Jayson Werth","WSN",606,21,69,0.243809523,0.417142857,"Jayson Werth",1327,150029
2016,"Addison Russell","CHC",598,21,95,0.238095238,0.417142857,"Addison Russell",14106,608365
2017,"Joe Mauer","MIN",597,7,71,0.304761904,0.417142857,"Joe Mauer",1857,408045
2018,"Wilmer Flores","NYM",429,11,51,0.266839378,0.417098445,"Wilmer Flores",5827,527038
2018,"Andrelton Simmons","LAA",600,11,75,0.292418772,0.416967509,"Andrelton Simmons",10847,592743
2019,"Adam Frazier","PIT",608,10,50,0.277978339,0.416967509,"Adam Frazier",15223,624428
2017,"Cameron Rupp","PHI",331,14,34,0.216949152,0.416949152,"Cameron Rupp",11146,519237
2015,"Juan Uribe","- - -",397,14,43,0.252777777,0.416666666,"Juan Uribe",454,346874
2015,"Joc Pederson","LAD",585,26,54,0.210416666,0.416666666,"Joc Pederson",11899,592626
2015,"Tyler Collins","DET",207,4,25,0.265625,0.416666666,"Tyler Collins",12723,607385
2016,"Martín Prado","MIA",658,8,75,0.305,0.416666666,"Martin Prado",3312,445988
2020,"Miguel Cabrera","DET",231,10,35,0.25,0.416666666,"Miguel Cabrera",1744,408234
2018,"Jonathan Schoop","- - -",501,21,61,0.232558139,0.416490486,"Jonathan Schoop",11265,570731
2019,"Wilson Ramos","NYM",524,14,73,0.287526427,0.416490486,"Wilson Ramos",1433,467092
2016,"Chris Owings","ARI",466,5,49,0.276887871,0.416475972,"Chris Owings",10030,572008
2019,"Chad Pinder","OAK",370,13,47,0.240469208,0.416422287,"Chad Pinder",15191,640461
2016,"Brandon Phillips","CIN",584,11,64,0.29090909,0.416363636,"Brandon Phillips",791,408252
2015,"Joey Butler","TBR",276,8,30,0.276264591,0.416342412,"Joey Butler",7799,542994
2017,"Alex Presley","DET",264,3,20,0.314285714,0.41632653,"Alex Presley",5305,502100
2017,"Yangervis Solarte","SDP",512,18,64,0.255364806,0.416309012,"Yangervis Solarte",5352,500208
2021,"Jonathan Villar","NYM",505,18,42,0.248898678,0.416299559,"Jonathan Villar",10071,542340
2021,"Victor Reyes","DET",220,5,22,0.258373205,0.416267942,"Victor Reyes",15487,622682
2022,"Orlando Arcia","ATL",234,9,30,0.244019138,0.416267942,"Orlando Arcia",13185,606115
2023,"Kevin Pillar","ATL",206,9,32,0.228426395,0.416243654,"Kevin Pillar",12434,607680
2023,"Joc Pederson","SFG",425,15,51,0.234636871,0.416201117,"Joc Pederson",11899,592626
2016,"Yasiel Puig","LAD",368,11,45,0.263473053,0.416167664,"Yasiel Puig",14225,624577
2023,"Thairo Estrada","SFG",530,14,49,0.27070707,0.416161616,"Thairo Estrada",16426,642731
2021,"Kyle Farmer","CIN",529,16,63,0.262939958,0.416149068,"Kyle Farmer",14813,571657
2018,"José Peraza","CIN",683,14,58,0.287974683,0.41613924,"Jose Peraza",13593,606299
2017,"Brandon Phillips","- - -",604,13,60,0.284965034,0.416083916,"Brandon Phillips",791,408252
2018,"Ronald Guzmán","TEX",428,16,58,0.235142118,0.416020671,"Ronald Guzman",14388,608597
2016,"Billy Butler","- - -",274,5,35,0.284,0.416,"Billy Butler",7399,456714
2021,"Francisco Mejía","TBR",277,6,35,0.26,0.416,"Francisco Mejia",16403,642336
2015,"Jimmy Paredes","BAL",384,10,42,0.275482093,0.415977961,"Jimmy Paredes",5481,517370
2015,"Christian Yelich","MIA",525,7,44,0.300420168,0.415966386,"Christian Yelich",11477,592885
2018,"Jedd Gyorko","STL",402,11,47,0.262108262,0.415954415,"Jedd Gyorko",10816,576397
2023,"Dansby Swanson","CHC",638,22,80,0.244247787,0.415929203,"Dansby Swanson",18314,621020
2019,"Ehire Adrianza","MIN",236,5,22,0.272277227,0.415841584,"Ehire Adrianza",8418,501303
2023,"Cedric Mullins","BAL",455,15,74,0.232673267,0.415841584,"Cedric Mullins",17929,656775
2018,"Trey Mancini","BAL",636,24,58,0.242268041,0.41580756,"Trey Mancini",15149,641820
2019,"Harold Ramírez","MIA",446,11,50,0.275534441,0.415676959,"Harold Ramirez",14387,623912
2018,"Trea Turner","WSN",740,19,73,0.271084337,0.41566265,"Trea Turner",16252,607208
2023,"Hunter Renfroe","- - -",548,20,60,0.232931726,0.41566265,"Hunter Renfroe",15464,592669
2022,"Michael Brantley","HOU",277,5,26,0.288065843,0.41563786,"Michael Brantley",4106,488726
2015,"Wilin Rosario","COL",242,6,29,0.268398268,0.415584415,"Wilin Rosario",8002,501647
2021,"Odúbel Herrera","PHI",492,13,51,0.26,0.415555555,"Odubel Herrera",11476,546318
2019,"Justin Upton","LAA",256,12,40,0.214611872,0.415525114,"Justin Upton",5222,457708
2020,"Adalberto Mondesi","KCR",233,6,22,0.255707762,0.415525114,"Adalberto Mondesi",13769,609275
2019,"Raimel Tapia","COL",447,9,44,0.274647887,0.415492957,"Raimel Tapia",14350,606132
2022,"Garrett Cooper","MIA",469,9,50,0.260869565,0.415458937,"Garrett Cooper",15279,643265
2021,"Kevin Pillar","NYM",347,15,47,0.23076923,0.415384615,"Kevin Pillar",12434,607680
2016,"Seth Smith","SEA",438,16,63,0.248677248,0.415343915,"Seth Smith",7331,452234
2023,"Trevor Larnach","MIN",212,8,40,0.213114754,0.415300546,"Trevor Larnach",21501,663616
2020,"Francisco Lindor","CLE",266,8,27,0.258474576,0.415254237,"Francisco Lindor",12916,596019
2015,"Yunel Escobar","WSN",591,9,56,0.314018691,0.414953271,"Yunel Escobar",4191,488862
2018,"Daniel Robertson","TBR",340,9,34,0.262411347,0.414893617,"Daniel Robertson",14145,621002
2020,"Austin Riley","ATL",206,8,27,0.239361702,0.414893617,"Austin Riley",18360,663586
2022,"Alejandro Kirk","TOR",541,14,63,0.285106382,0.414893617,"Alejandro Kirk",22581,672386
2021,"Mitch Moreland","OAK",252,10,30,0.227074235,0.414847161,"Mitch Moreland",3086,519048
2017,"James McCann","DET",391,13,49,0.252840909,0.414772727,"James McCann",12859,543510
2021,"Robbie Grossman","DET",671,23,67,0.238779174,0.414721723,"Robbie Grossman",5254,543257
2021,"Nathaniel Lowe","TEX",642,18,72,0.263913824,0.414721723,"Nathaniel Lowe",19566,663993
2018,"Jean Segura","SEA",632,10,63,0.303754266,0.414675767,"Jean Segura",5933,516416
2022,"David Peralta","- - -",490,12,59,0.250569476,0.414578587,"David Peralta",2136,444482
2016,"Michael Conforto","NYM",348,12,42,0.220394736,0.414473684,"Michael Conforto",16376,624424
2019,"Adam Jones","ARI",528,16,67,0.259793814,0.414432989,"Adam Jones",6368,430945
2022,"Ramón Urías","BAL",445,16,51,0.248138957,0.414392059,"Ramon Urias",18795,602104
2017,"Hernán Pérez","MIL",458,14,51,0.259259259,0.414351851,"Hernan Perez",5751,541650
2018,"Carlos Santana","PHI",679,24,86,0.228571428,0.414285714,"Carlos Santana",2396,467793
2022,"Christian Arroyo","BOS",300,6,36,0.285714285,0.414285714,"Christian Arroyo",16434,624414
2020,"Aaron Hicks","NYY",211,6,21,0.224852071,0.414201183,"Aaron Hicks",5297,543305
2015,"Darin Ruf","PHI",297,12,39,0.235074626,0.414179104,"Darin Ruf",9929,573131
2021,"Rowdy Tellez","- - -",325,11,36,0.242424242,0.414141414,"Rowdy Tellez",15679,642133
2023,"Nathaniel Lowe","TEX",724,17,82,0.261637239,0.4141252,"Nathaniel Lowe",19566,663993
2019,"Marwin Gonzalez","MIN",463,15,55,0.263529411,0.414117647,"Marwin Gonzalez",5497,503556
2019,"Ronald Guzmán","TEX",295,10,36,0.21875,0.4140625,"Ronald Guzman",14388,608597
2022,"Ryan McMahon","COL",597,20,67,0.245746691,0.413988657,"Ryan McMahon",15112,641857
2018,"Mitch Garver","MIN",335,7,45,0.26821192,0.413907284,"Mitch Garver",15161,641598
2020,"Anthony Rizzo","CHC",243,11,24,0.221674876,0.413793103,"Anthony Rizzo",3473,519203
2017,"Jason Kipnis","CLE",373,12,35,0.232142857,0.413690476,"Jason Kipnis",9776,543401
2016,"Logan Morrison","TBR",398,14,43,0.237960339,0.413597733,"Logan Morrison",9205,489149
2018,"Brandon Belt","SFG",456,14,46,0.253132832,0.413533834,"Brandon Belt",10264,474832
2017,"Byron Buxton","MIN",511,16,51,0.253246753,0.413419913,"Byron Buxton",14161,621439
2021,"Trent Grisham","SDP",527,15,62,0.242424242,0.413419913,"Trent Grisham",18564,663757
2017,"Caleb Joseph","BAL",266,8,28,0.255905511,0.413385826,"Caleb Joseph",7087,543376
2019,"Tyler Flowers","ATL",310,11,34,0.228782287,0.413284132,"Tyler Flowers",9134,452095
2022,"Ronald Acuña Jr.","ATL",533,15,50,0.265524625,0.413276231,"Ronald Acuna Jr.",18401,660670
2017,"Yolmer Sánchez","CHW",534,12,59,0.266528925,0.41322314,"Yolmer Sanchez",11602,570560
2023,"Kyle Higashioka","NYY",260,10,34,0.23553719,0.41322314,"Kyle Higashioka",5517,543309
2023,"Jake Bauers","NYY",272,12,30,0.202479338,0.41322314,"Jake Bauers",15194,641343
2017,"José Reyes","NYM",561,15,58,0.245508982,0.413173652,"Jose Reyes",1736,408314
2016,"John Jaso","PIT",432,8,42,0.268421052,0.413157894,"John Jaso",5887,444379
2018,"Joey Rickard","BAL",230,8,23,0.244131455,0.413145539,"Joey Rickard",13277,572073
2021,"Max Kepler","MIN",490,19,54,0.211267605,0.413145539,"Max Kepler",12144,596146
2016,"Brett Lawrie","CHW",384,12,36,0.247863247,0.413105413,"Brett Lawrie",5247,543434
2022,"Austin Hays","BAL",582,16,60,0.250467289,0.413084112,"Austin Hays",19363,669720
2018,"Brad Miller","- - -",254,7,29,0.247826086,0.413043478,"Brad Miller",12775,543543
2018,"Yairo Muñoz","STL",329,8,42,0.276450511,0.412969283,"Yairo Munoz",16313,622168
2023,"Joshua Palacios","PIT",264,10,40,0.238866396,0.412955465,"Joshua Palacios",19818,641943
2023,"Shea Langeliers","OAK",490,22,63,0.205357142,0.412946428,"Shea Langeliers",25816,669127
2019,"Ildemaro Vargas","ARI",211,6,24,0.268656716,0.412935323,"Ildemaro Vargas",13324,545121
2021,"Yadiel Hernandez","WSN",289,9,32,0.272727272,0.412878787,"Yadiel Hernandez",19334,628450
2015,"Grégor Blanco","SFG",372,5,26,0.290519877,0.412844036,"Gregor Blanco",3123,453923
2022,"Marcell Ozuna","ATL",507,23,56,0.225531914,0.412765957,"Marcell Ozuna",10324,542303
2015,"Brandon Guyer","TBR",385,8,28,0.26506024,0.412650602,"Brandon Guyer",2636,446386
2016,"Cheslor Cuthbert","KCR",510,12,46,0.27368421,0.412631578,"Cheslor Cuthbert",10473,596144
2016,"Brian McCann","NYY",492,20,58,0.242424242,0.412587412,"Brian McCann",4810,435263
2017,"Ben Gamel","SEA",550,11,59,0.275049115,0.412573673,"Ben Gamel",12160,592325
2018,"Evan Longoria","SFG",512,16,54,0.24375,0.4125,"Evan Longoria",9368,446334
2023,"J.D. Davis","SFG",546,18,69,0.247916666,0.4125,"J.D. Davis",16219,605204
2017,"Kolten Wong","STL",411,4,42,0.285310734,0.412429378,"Kolten Wong",12532,543939
2018,"Domingo Santana","MIL",235,5,20,0.265402843,0.412322274,"Domingo Santana",10348,570267
2021,"Ramón Urías","BAL",296,7,38,0.278625954,0.41221374,"Ramon Urias",18795,602104
2023,"CJ Abrams","WSN",614,18,64,0.245115452,0.412078152,"CJ Abrams",25768,682928
2017,"Yoán Moncada","CHW",231,8,22,0.231155778,0.412060301,"Yoan Moncada",17232,660162
2017,"Ian Kinsler","DET",613,22,52,0.235934664,0.411978221,"Ian Kinsler",6195,435079
2016,"David Freese","PIT",492,13,55,0.270022883,0.411899313,"David Freese",9549,501896
2018,"Ryon Healy","SEA",524,24,73,0.235294117,0.411764705,"Ryon Healy",15447,592387
2019,"Stephen Piscotty","OAK",393,13,44,0.249299719,0.411764705,"Stephen Piscotty",13367,572039
2019,"Dwight Smith Jr.","BAL",392,13,53,0.240896358,0.411764705,"Dwight Smith Jr.",13473,596105
2016,"Scooter Gennett","MIL",542,14,56,0.263052208,0.411646586,"Scooter Gennett",10339,571697
2019,"Brian McCann","ATL",316,12,45,0.249097472,0.411552346,"Brian McCann",4810,435263
2021,"Yoán Moncada","CHW",616,14,61,0.263461538,0.411538461,"Yoan Moncada",17232,660162
2021,"Francisco Lindor","NYM",524,20,63,0.230088495,0.411504424,"Francisco Lindor",12916,596019
2021,"Lane Thomas","- - -",264,7,28,0.234513274,0.411504424,"Lane Thomas",16939,657041
2019,"Joey Votto","CIN",608,15,47,0.26095238,0.411428571,"Joey Votto",4314,458015
2018,"Brock Holt","BOS",367,7,46,0.277258566,0.411214953,"Brock Holt",9345,571788
2021,"Chad Pinder","OAK",233,6,27,0.242990654,0.411214953,"Chad Pinder",15191,640461
2021,"Carson Kelly","ARI",359,13,46,0.240131578,0.41118421,"Carson Kelly",13620,608348
2018,"Josh Bell","PIT",583,12,62,0.261477045,0.411177644,"Josh Bell",13145,605137
2021,"Josh Rojas","ARI",550,11,44,0.264462809,0.411157024,"Josh Rojas",19734,668942
2022,"Gavin Sheets","CHW",410,15,53,0.24137931,0.411140583,"Gavin Sheets",19901,657757
2023,"Mauricio Dubón","HOU",492,10,46,0.278372591,0.411134903,"Mauricio Dubon",16530,643289
2017,"Danny Valencia","SEA",500,15,66,0.255555555,0.411111111,"Danny Valencia",6364,502143
2015,"Dexter Fowler","CHC",690,17,46,0.25,0.411073825,"Dexter Fowler",4062,451594
2015,"Jhonny Peralta","STL",640,17,71,0.274611398,0.41105354,"Jhonny Peralta",1738,425509
2023,"Bryan De La Cruz","MIA",626,19,78,0.257340241,0.41105354,"Bryan De La Cruz",19600,650559
2022,"Jack Suwinski","PIT",372,19,38,0.202453987,0.411042944,"Jack Suwinski",22244,669261
2021,"Luis García","WSN",247,6,22,0.241525423,0.411016949,"Luis Garcia",20391,671277
2019,"Jake Marisnick","HOU",318,10,34,0.232876712,0.410958904,"Jake Marisnick",11339,545350
2018,"Nick Ahmed","ARI",564,16,70,0.234496124,0.410852713,"Nick Ahmed",12147,605113
2021,"Ji Man Choi","TBR",305,11,45,0.22868217,0.410852713,"Ji Man Choi",5452,596847
2019,"Josh Phegley","OAK",342,12,62,0.238853503,0.410828025,"Josh Phegley",9308,572033
2016,"José Peraza","CIN",256,3,25,0.323651452,0.410788381,"Jose Peraza",13593,606299
2018,"Albert Pujols","LAA",498,19,64,0.24516129,0.410752688,"Albert Pujols",1177,405395
2021,"Adam Frazier","- - -",639,5,43,0.305025996,0.410745233,"Adam Frazier",15223,624428
2018,"Adam Eaton","WSN",370,5,33,0.300940438,0.410658307,"Adam Eaton",11205,594809
2019,"Enrique Hernández","LAD",460,17,64,0.236714975,0.410628019,"Enrique Hernandez",10472,571771
2019,"Curt Casali","CIN",236,8,32,0.251207729,0.410628019,"Curt Casali",12510,592200
2016,"Eugenio Suárez","CIN",627,21,70,0.24778761,0.410619469,"Eugenio Suarez",12552,553993
2023,"Willi Castro","MIN",409,9,34,0.25698324,0.410614525,"Willi Castro",17338,650489
2021,"Charlie Blackmon","COL",582,13,78,0.270428015,0.410505836,"Charlie Blackmon",7859,453568
2015,"Matt Holliday","STL",277,4,35,0.279475982,0.410480349,"Matt Holliday",1873,407812
2019,"Jason Kipnis","CLE",511,17,65,0.244541484,0.410480349,"Jason Kipnis",9776,543401
2015,"Mike Napoli","- - -",469,18,50,0.223587223,0.41031941,"Mike Napoli",3057,435063
2018,"Mike Zunino","SEA",405,20,44,0.201072386,0.410187667,"Mike Zunino",13265,572287
2019,"José Martínez","STL",373,10,42,0.269461077,0.41017964,"Jose Martinez",7996,500874
2020,"Keston Hiura","MIL",246,13,32,0.211981566,0.410138248,"Keston Hiura",20003,669374
2016,"Kevin Kiermaier","TBR",414,12,37,0.245901639,0.409836065,"Kevin Kiermaier",11038,595281
2017,"Jorge Polanco","MIN",544,13,74,0.25614754,0.409836065,"Jorge Polanco",13152,593871
2022,"Yadiel Hernandez","WSN",327,9,41,0.268852459,0.409836065,"Yadiel Hernandez",19334,628450
2023,"Elly De La Cruz","CIN",427,13,44,0.234536082,0.409793814,"Elly De La Cruz",26668,682829
2019,"Jurickson Profar","OAK",518,20,67,0.217864923,0.409586056,"Jurickson Profar",10815,595777
2022,"Nico Hoerner","CHC",517,10,55,0.28066528,0.409563409,"Nico Hoerner",21479,663538
2015,"Howie Kendrick","LAD",495,9,54,0.29525862,0.409482758,"Howie Kendrick",4229,435062
2015,"Abraham Almonte","- - -",258,5,24,0.25,0.409482758,"Abraham Almonte",5486,501659
2023,"Elias Díaz","COL",526,14,72,0.267489711,0.40946502,"Elias Diaz",11680,553869
2016,"Tyler Saladino","CHW",319,8,38,0.281879194,0.409395973,"Tyler Saladino",10807,573135
2017,"Ender Inciarte","ATL",718,11,57,0.303625377,0.409365558,"Ender Inciarte",4922,542255
2016,"Steven Souza Jr.","TBR",468,17,49,0.246511627,0.409302325,"Steven Souza Jr.",5667,519306
2016,"ByungHo Park","MIN",244,12,24,0.190697674,0.409302325,"ByungHo Park",18497,666560
2015,"Miguel Montero","CHC",403,15,53,0.247838616,0.409221902,"Miguel Montero",3364,471083
2015,"Carlos Gómez","- - -",477,12,56,0.255172413,0.409195402,"Carlos Gomez",4881,460576
2019,"Josh Reddick","HOU",550,14,56,0.275449101,0.409181636,"Josh Reddick",3892,502210
2023,"Keibert Ruiz","WSN",562,18,67,0.26003824,0.40917782,"Keibert Ruiz",19610,660688
2021,"Amed Rosario","CLE",588,11,57,0.281818181,0.409090909,"Amed Rosario",15518,642708
2022,"Emmanuel Rivera","- - -",359,12,40,0.233333333,0.409090909,"Emmanuel Rivera",19890,656896
2018,"Marwin Gonzalez","HOU",552,16,68,0.247443762,0.408997955,"Marwin Gonzalez",5497,503556
2016,"Matt Wieters","BAL",464,17,66,0.243498817,0.408983451,"Matt Wieters",4298,446308
2022,"Ozzie Albies","ATL",269,8,35,0.246963562,0.408906882,"Ozzie Albies",16556,645277
2017,"DJ LeMahieu","COL",682,8,64,0.310344827,0.408866995,"DJ LeMahieu",9874,518934
2015,"Torii Hunter","MIN",567,22,81,0.239923224,0.408829174,"Torii Hunter",731,116338
2021,"Justin Upton","LAA",362,17,41,0.210691823,0.408805031,"Justin Upton",5222,457708
2022,"Christian Bethancourt","- - -",333,11,34,0.251572327,0.408805031,"Christian Bethancourt",10028,542194
2019,"Maikel Franco","PHI",428,17,56,0.233933161,0.408740359,"Maikel Franco",12179,596748
2015,"Danny Espinosa","WSN",412,13,37,0.239782016,0.408719346,"Danny Espinosa",9219,457787
2017,"Maikel Franco","PHI",623,24,76,0.229565217,0.408695652,"Maikel Franco",12179,596748
2017,"Manuel Margot","SDP",529,13,39,0.262833675,0.408624229,"Manuel Margot",14712,622534
2019,"Dexter Fowler","STL",574,19,67,0.238193018,0.408624229,"Dexter Fowler",4062,451594
2019,"César Hernández","PHI",667,14,71,0.279411764,0.408496732,"Cesar Hernandez",10556,514917
2015,"Ender Inciarte","ARI",561,6,45,0.303435114,0.408396946,"Ender Inciarte",4922,542255
2020,"Mark Canha","OAK",243,5,33,0.246073298,0.408376963,"Mark Canha",11445,592192
2023,"Yan Gomes","CHC",419,10,63,0.267015706,0.408376963,"Yan Gomes",9627,543228
2022,"Luis García","WSN",377,7,45,0.275,0.408333333,"Luis Garcia",20391,671277
2016,"Jhonny Peralta","STL",313,8,29,0.25951557,0.408304498,"Jhonny Peralta",1738,425509
2018,"Ian Happ","CHC",462,15,44,0.232558139,0.408268733,"Ian Happ",17919,664023
2016,"Lorenzo Cain","KCR",434,9,56,0.287153652,0.408060453,"Lorenzo Cain",9077,456715
2021,"Aristides Aquino","CIN",204,10,23,0.189655172,0.408045977,"Aristides Aquino",15482,606157
2022,"Brendan Rodgers","COL",581,13,63,0.265654648,0.407969639,"Brendan Rodgers",17907,663898
2022,"Austin Slater","SFG",325,7,34,0.263537906,0.407942238,"Austin Slater",16153,596103
2023,"Ezequiel Tovar","COL",615,15,73,0.253012048,0.407917383,"Ezequiel Tovar",24064,678662
2018,"Max Kepler","MIN",611,20,58,0.22368421,0.407894736,"Max Kepler",12144,596146
2019,"Josh VanMeter","CIN",260,8,23,0.236842105,0.407894736,"Josh VanMeter",15170,642165
2015,"Wilmer Flores","NYM",510,16,59,0.262939958,0.407867494,"Wilmer Flores",5827,527038
2018,"Danny Valencia","BAL",282,9,28,0.262745098,0.407843137,"Danny Valencia",6364,502143
2018,"Nick Hundley","SFG",305,10,31,0.241134751,0.407801418,"Nick Hundley",3376,460026
2021,"Corey Dickerson","- - -",365,6,29,0.270833333,0.407738095,"Corey Dickerson",10762,572816
2023,"Kyle Farmer","MIN",369,11,46,0.25595238,0.407738095,"Kyle Farmer",14813,571657
2020,"César Hernández","CLE",261,3,20,0.283261802,0.407725321,"Cesar Hernandez",10556,514917
2017,"Ezequiel Carrera","TOR",325,8,20,0.282229965,0.407665505,"Ezequiel Carrera",9048,485567
2023,"Gabriel Moreno","ARI",380,7,50,0.284457478,0.407624633,"Gabriel Moreno",22664,672515
2018,"David Bote","CHC",210,6,33,0.239130434,0.407608695,"David Bote",14593,623520
2023,"Jonathan India","CIN",529,17,61,0.244493392,0.407488986,"Jonathan India",21523,663697
2015,"Brett Lawrie","OAK",602,16,60,0.259786476,0.407473309,"Brett Lawrie",5247,543434
2016,"J.J. Hardy","BAL",438,9,48,0.269135802,0.407407407,"J.J. Hardy",3797,429666
2020,"Willson Contreras","CHC",225,7,26,0.243386243,0.407407407,"Willson Contreras",11609,575929
2021,"Freddy Galvis","- - -",394,14,40,0.241573033,0.40730337,"Freddy Galvis",6609,520471
2015,"Brandon Moss","- - -",526,19,58,0.226012793,0.407249466,"Brandon Moss",4467,461235
2018,"Colin Moran","PIT",465,11,58,0.277108433,0.407228915,"Colin Moran",16909,592567
2017,"Orlando Arcia","MIL",548,15,53,0.276679841,0.407114624,"Orlando Arcia",13185,606115
2019,"Brandon Nimmo","NYM",254,8,29,0.221105527,0.407035175,"Brandon Nimmo",12927,607043
2018,"Jorge Alfaro","PHI",377,10,37,0.261627906,0.406976744,"Jorge Alfaro",12180,595751
2023,"Willy Adames","MIL",638,24,80,0.216998191,0.406871609,"Willy Adames",15986,642715
2019,"José Iglesias","CIN",530,11,59,0.287698412,0.406746031,"Jose Iglesias",10231,578428
2022,"Chas McCormick","HOU",407,14,44,0.245125348,0.406685236,"Chas McCormick",19599,676801
2017,"Joc Pederson","LAD",323,11,35,0.212454212,0.406593406,"Joc Pederson",11899,592626
2022,"Ketel Marte","ARI",558,12,52,0.239837398,0.406504065,"Ketel Marte",13613,606466
2015,"Geovany Soto","CHW",210,9,21,0.219251336,0.406417112,"Geovany Soto",3707,434567
2023,"Ryan Noda","OAK",495,16,54,0.229064039,0.40640394,"Ryan Noda",23312,676116
2017,"Jordy Mercer","PIT",558,14,58,0.254980079,0.406374501,"Jordy Mercer",6547,474568
2017,"Chase Headley","NYY",586,12,61,0.2734375,0.40625,"Chase Headley",4720,452104
2018,"Mallex Smith","TBR",544,2,40,0.295833333,0.40625,"Mallex Smith",13608,605480
2018,"Willy Adames","TBR",323,10,34,0.277777777,0.40625,"Willy Adames",15986,642715
2019,"Jon Berti","MIA",287,6,24,0.2734375,0.40625,"Jon Berti",12037,542932
2016,"Stephen Vogt","OAK",532,14,56,0.251020408,0.406122448,"Stephen Vogt",5000,519390
2017,"Adeiny Hechavarría","- - -",348,8,30,0.26060606,0.406060606,"Adeiny Hechavarria",10459,588751
2016,"Adonis García","ATL",563,14,65,0.27255639,0.406015037,"Adonis Garcia",13777,611177
2015,"J.T. Realmuto","MIA",467,10,47,0.258503401,0.405895691,"J.T. Realmuto",11739,592663
2019,"Justin Smoak","TOR",500,22,61,0.207729468,0.405797101,"Justin Smoak",9054,475253
2018,"Tim Anderson","CHW",606,20,64,0.239858906,0.405643738,"Tim Anderson",15172,641313
2018,"Gary Sánchez","NYY",374,18,53,0.185758513,0.405572755,"Gary Sanchez",11442,596142
2018,"Carlos Correa","HOU",468,15,65,0.23880597,0.405472636,"Carlos Correa",14162,621043
2021,"Santiago Espinal","TOR",246,2,17,0.31081081,0.405405405,"Santiago Espinal",19997,669289
2022,"Jorge Polanco","MIN",445,16,56,0.234666666,0.405333333,"Jorge Polanco",13152,593871
2016,"Andrés Blanco","PHI",209,4,21,0.252631578,0.405263157,"Andres Blanco",1907,433217
2023,"Seth Brown","OAK",378,14,52,0.221574344,0.405247813,"Seth Brown",18171,664913
2016,"Paulo Orlando","KCR",484,5,43,0.301969365,0.404814004,"Paulo Orlando",8628,449181
2021,"Aledmys Díaz","HOU",319,8,45,0.258503401,0.404761904,"Aledmys Diaz",15937,649557
2022,"Alex Verdugo","BOS",644,11,74,0.279932546,0.404721753,"Alex Verdugo",17027,657077
2015,"Marcus Semien","OAK",601,15,45,0.257194244,0.404676258,"Marcus Semien",12533,543760
2023,"Jon Berti","MIA",424,7,33,0.293814432,0.404639175,"Jon Berti",12037,542932
2021,"Sean Murphy","OAK",448,17,59,0.216284987,0.404580152,"Sean Murphy",19352,669221
2023,"George Springer","TOR",683,21,72,0.257748776,0.404567699,"George Springer",12856,543807
2021,"Tommy La Stella","SFG",242,7,27,0.25,0.404545454,"Tommy La Stella",12371,600303
2017,"Chase Utley","LAD",353,8,34,0.236245954,0.404530744,"Chase Utley",1679,400284
2016,"Josh Reddick","- - -",439,10,37,0.281407035,0.404522613,"Josh Reddick",3892,502210
2022,"Harold Ramírez","TBR",435,6,58,0.300248138,0.404466501,"Harold Ramirez",14387,623912
2021,"Alcides Escobar","WSN",349,4,28,0.288401253,0.404388714,"Alcides Escobar",6310,444876
2017,"Christian Vázquez","BOS",345,5,32,0.290123456,0.404320987,"Christian Vazquez",9774,543877
2018,"Justin Bour","- - -",501,20,59,0.226950354,0.404255319,"Justin Bour",9744,571506
2022,"Mitch Garver","TEX",215,10,24,0.207446808,0.404255319,"Mitch Garver",15161,641598
2021,"Yermín Mercedes","CHW",262,7,37,0.270833333,0.404166666,"Yermin Mercedes",17423,606213
2022,"Luis Urías","MIL",472,16,47,0.238916256,0.403940886,"Luis Urias",16622,649966
2021,"Donovan Solano","SFG",344,7,31,0.280130293,0.403908794,"Donovan Solano",8623,456781
2015,"Derek Norris","SDP",557,14,62,0.250485436,0.403883495,"Derek Norris",6867,519083
